qid,model,agree,method
02024,haiku,,judge
02024,opus,,judge
02024,sonnet,,judge
02049,haiku,,judge
02049,opus,,judge
02049,sonnet,,judge
02119,haiku,False,refusal
02119,opus,False,refusal
02119,sonnet,False,refusal
02416,haiku,,judge
02416,opus,,judge
02416,sonnet,,judge
02419,haiku,,judge
02419,opus,,judge
02419,sonnet,,judge
02608,haiku,True,numeric
02608,opus,True,numeric
02608,sonnet,True,numeric
02981,haiku,True,numeric
02981,opus,True,numeric
02981,sonnet,True,numeric
02987,haiku,True,numeric
02987,opus,True,numeric
02987,sonnet,True,numeric
03029,haiku,True,numeric
03029,opus,True,numeric
03029,sonnet,True,numeric
03031,haiku,True,numeric
03031,opus,True,numeric
03031,sonnet,True,numeric
03069,haiku,True,numeric
03069,opus,False,numeric
03069,sonnet,False,numeric
03282,haiku,True,numeric
03282,opus,True,numeric
03282,sonnet,True,numeric
03471,haiku,True,numeric
03471,opus,True,numeric
03471,sonnet,True,numeric
03473,haiku,True,numeric
03473,opus,False,numeric
03473,sonnet,False,numeric
03531,haiku,True,numeric
03531,opus,True,numeric
03531,sonnet,True,numeric
03620,haiku,False,numeric
03620,opus,True,numeric
03620,sonnet,True,numeric
03718,haiku,True,numeric
03718,opus,True,numeric
03718,sonnet,True,numeric
03838,haiku,True,numeric
03838,opus,True,numeric
03838,sonnet,True,numeric
03849,haiku,True,numeric
03849,opus,True,numeric
03849,sonnet,True,numeric
03856,haiku,True,numeric
03856,opus,True,numeric
03856,sonnet,True,numeric
03882,haiku,True,numeric
03882,opus,True,numeric
03882,sonnet,True,numeric
04080,haiku,True,numeric
04080,opus,True,numeric
04080,sonnet,True,numeric
04103,haiku,False,numeric
04103,opus,True,numeric
04103,sonnet,True,numeric
04171,haiku,True,numeric
04171,opus,True,numeric
04171,sonnet,True,numeric
04209,haiku,True,numeric
04209,opus,True,numeric
04209,sonnet,True,numeric
04254,haiku,True,numeric
04254,opus,True,numeric
04254,sonnet,True,numeric
04302,haiku,True,numeric
04302,opus,True,numeric
04302,sonnet,True,numeric
04412,haiku,True,numeric
04412,opus,True,numeric
04412,sonnet,True,numeric
04417,haiku,True,numeric
04417,opus,True,numeric
04417,sonnet,True,numeric
04458,haiku,True,numeric
04458,opus,True,numeric
04458,sonnet,True,numeric
04481,haiku,True,numeric
04481,opus,True,numeric
04481,sonnet,True,numeric
04660,haiku,True,numeric
04660,opus,False,numeric
04660,sonnet,True,numeric
04672,haiku,True,numeric
04672,opus,True,numeric
04672,sonnet,True,numeric
04700,haiku,True,numeric
04700,opus,True,numeric
04700,sonnet,True,numeric
04735,haiku,True,numeric
04735,opus,True,numeric
04735,sonnet,True,numeric
04784,haiku,True,numeric
04784,opus,True,numeric
04784,sonnet,True,numeric
04854,haiku,True,numeric
04854,opus,True,numeric
04854,sonnet,True,numeric
04980,haiku,True,numeric
04980,opus,True,numeric
04980,sonnet,True,numeric
05718,haiku,True,numeric
05718,opus,True,numeric
05718,sonnet,True,numeric
05915,haiku,True,numeric
05915,opus,True,numeric
05915,sonnet,True,numeric
06247,haiku,True,numeric
06247,opus,True,numeric
06247,sonnet,True,numeric
06272,haiku,True,numeric
06272,opus,True,numeric
06272,sonnet,False,numeric
06655,haiku,True,numeric
06655,opus,True,numeric
06655,sonnet,True,numeric
06741,haiku,True,numeric
06741,opus,True,numeric
06741,sonnet,True,numeric
07507,haiku,True,numeric
07507,opus,True,numeric
07507,sonnet,True,numeric
07661,haiku,True,numeric
07661,opus,True,numeric
07661,sonnet,True,numeric
07966,haiku,True,numeric
07966,opus,True,numeric
07966,sonnet,True,numeric
08135,haiku,True,numeric
08135,opus,True,numeric
08135,sonnet,True,numeric
08286,haiku,True,numeric
08286,opus,True,numeric
08286,sonnet,True,numeric
09724,haiku,True,numeric
09724,opus,True,numeric
09724,sonnet,False,numeric
10130,haiku,True,numeric
10130,opus,True,numeric
10130,sonnet,True,numeric
10136,haiku,True,numeric
10136,opus,True,numeric
10136,sonnet,True,numeric
10285,haiku,True,numeric
10285,opus,True,numeric
10285,sonnet,True,numeric
10420,haiku,False,numeric
10420,opus,False,numeric
10420,sonnet,False,numeric
10499,haiku,True,numeric
10499,opus,True,numeric
10499,sonnet,True,numeric
