custom_id,grade_method,grade_primary,scale_error,grader_verdict
fb-00476-para--sonnet,ai_grader,correct,False,correct
fb-00494-para--haiku,ai_grader,correct,False,correct
fb-00494-para--opus,ai_grader,correct,False,correct
fb-00494-para--sonnet,ai_grader,correct,False,correct
fb-00517-para--haiku,ai_grader,correct,False,correct
fb-00517-para--opus,ai_grader,correct,False,correct
fb-00517-para--sonnet,ai_grader,correct,False,correct
fb-00521-closedbook--haiku,refusal,refused,False,
fb-00521-closedbook--opus,ai_grader,correct,False,correct
fb-00521-closedbook--sonnet,refusal,refused,False,
fb-00521-oracle--haiku,refusal,refused,False,
fb-00521-oracle--opus,ai_grader,correct,False,correct
fb-00521-oracle--sonnet,ai_grader,correct,False,correct
fb-00521-para--haiku,refusal,refused,False,
fb-00521-para--opus,ai_grader,correct,False,correct
fb-00521-para--sonnet,ai_grader,correct,False,correct
fb-00540-para--haiku,ai_grader,incorrect,False,incorrect
fb-00540-para--opus,ai_grader,incorrect,False,incorrect
fb-00540-para--sonnet,ai_grader,incorrect,False,incorrect
fb-00552-closedbook--haiku,ai_grader,incorrect,False,incorrect
fb-00552-closedbook--opus,ai_grader,correct,False,correct
fb-00552-closedbook--sonnet,refusal,refused,False,
fb-00552-oracle--haiku,ai_grader,correct,False,correct
fb-00552-oracle--opus,ai_grader,correct,False,correct
fb-00552-oracle--sonnet,ai_grader,correct,False,correct
fb-00552-para--haiku,ai_grader,correct,False,correct
fb-00552-para--opus,ai_grader,correct,False,correct
fb-00552-para--sonnet,ai_grader,correct,False,correct
fb-00563-para--haiku,ai_grader,correct,False,correct
fb-00563-para--opus,ai_grader,correct,False,correct
fb-00563-para--sonnet,ai_grader,correct,False,correct
fb-00566-closedbook--haiku,ai_grader,incorrect,False,incorrect
fb-00566-closedbook--opus,ai_grader,correct,False,correct
fb-00566-closedbook--sonnet,ai_grader,incorrect,False,incorrect
fb-00566-oracle--haiku,ai_grader,correct,False,correct
fb-00566-oracle--opus,ai_grader,correct,False,correct
fb-00566-oracle--sonnet,ai_grader,correct,False,correct
fb-00566-para--haiku,ai_grader,correct,False,correct
fb-00566-para--opus,ai_grader,correct,False,correct
fb-00566-para--sonnet,ai_grader,correct,False,correct
fb-00585-para--haiku,ai_grader,correct,False,correct
fb-00585-para--opus,ai_grader,incorrect,False,incorrect
fb-00585-para--sonnet,ai_grader,incorrect,False,incorrect
fb-00591-para--haiku,ai_grader,incorrect,False,incorrect
fb-00591-para--opus,ai_grader,correct,False,correct
fb-00591-para--sonnet,ai_grader,correct,False,correct
fb-00601-closedbook--haiku,ai_grader,incorrect,False,incorrect
fb-00601-closedbook--opus,refusal,refused,False,
fb-00601-closedbook--sonnet,ai_grader,incorrect,False,incorrect
fb-00601-oracle--haiku,refusal,refused,False,
fb-00601-oracle--opus,ai_grader,correct,False,correct
fb-00601-oracle--sonnet,refusal,refused,False,
fb-00601-para--haiku,refusal,refused,False,
fb-00601-para--opus,ai_grader,correct,False,correct
fb-00601-para--sonnet,refusal,refused,False,
fb-00603-closedbook--haiku,ai_grader,incorrect,False,incorrect
fb-00603-closedbook--opus,ai_grader,correct,False,correct
fb-00603-closedbook--sonnet,ai_grader,correct,False,correct
fb-00603-oracle--haiku,refusal,refused,False,
fb-00603-oracle--opus,ai_grader,correct,False,correct
fb-00603-oracle--sonnet,refusal,refused,False,
fb-00603-para--haiku,refusal,refused,False,
fb-00603-para--opus,ai_grader,correct,False,correct
fb-00603-para--sonnet,ai_grader,correct,False,correct
fb-00605-closedbook--haiku,refusal,refused,False,
fb-00605-closedbook--opus,refusal,refused,False,
fb-00605-closedbook--sonnet,refusal,refused,False,
fb-00605-oracle--haiku,refusal,refused,False,
fb-00605-oracle--opus,ai_grader,correct,False,correct
fb-00605-oracle--sonnet,ai_grader,correct,False,correct
fb-00605-para--haiku,refusal,refused,False,
fb-00605-para--opus,ai_grader,correct,False,correct
fb-00605-para--sonnet,ai_grader,correct,False,correct
fb-00606-closedbook--haiku,refusal,refused,False,
fb-00606-closedbook--opus,ai_grader,incorrect,False,incorrect
fb-00606-closedbook--sonnet,ai_grader,incorrect,False,incorrect
fb-00606-oracle--haiku,refusal,refused,False,
fb-00606-oracle--opus,ai_grader,correct,False,correct
fb-00606-oracle--sonnet,refusal,refused,False,
fb-00606-para--haiku,refusal,refused,False,
fb-00606-para--opus,ai_grader,correct,False,correct
fb-00606-para--sonnet,refusal,refused,False,
fb-00651-para--haiku,ai_grader,correct,False,correct
fb-00651-para--opus,ai_grader,correct,False,correct
fb-00651-para--sonnet,refusal,refused,False,
fb-00669-para--haiku,ai_grader,correct,False,correct
fb-00669-para--opus,ai_grader,correct,False,correct
fb-00669-para--sonnet,ai_grader,correct,False,correct
fb-00678-para--haiku,ai_grader,correct,False,correct
fb-00678-para--opus,ai_grader,correct,False,correct
fb-00678-para--sonnet,ai_grader,correct,False,correct
fb-00684-para--haiku,ai_grader,correct,False,correct
fb-00684-para--opus,ai_grader,correct,False,correct
fb-00684-para--sonnet,ai_grader,correct,False,correct
fb-00685-para--haiku,ai_grader,correct,False,correct
fb-00685-para--opus,ai_grader,correct,False,correct
fb-00685-para--sonnet,ai_grader,correct,False,correct
fb-00702-closedbook--haiku,refusal,refused,False,
fb-00702-closedbook--opus,ai_grader,correct,False,correct
fb-00702-closedbook--sonnet,ai_grader,correct,False,correct
fb-00702-oracle--haiku,ai_grader,correct,False,correct
fb-00702-oracle--opus,ai_grader,correct,False,correct
fb-00702-oracle--sonnet,ai_grader,correct,False,correct
fb-00702-para--haiku,ai_grader,correct,False,correct
fb-00702-para--opus,ai_grader,correct,False,correct
fb-00702-para--sonnet,ai_grader,correct,False,correct
fb-00705-closedbook--haiku,refusal,refused,False,
fb-00705-closedbook--opus,numeric_parser,correct,False,
fb-00705-closedbook--sonnet,refusal,refused,False,
fb-00705-oracle--haiku,numeric_parser,correct,False,
fb-00705-oracle--opus,numeric_parser,correct,False,
fb-00705-oracle--sonnet,numeric_parser,correct,False,
fb-00705-para--haiku,numeric_parser,correct,False,
fb-00705-para--opus,numeric_parser,correct,False,
fb-00705-para--sonnet,numeric_parser,correct,False,
fb-00711-para--haiku,ai_grader,correct,False,correct
fb-00711-para--opus,ai_grader,correct,False,correct
fb-00711-para--sonnet,ai_grader,correct,False,correct
fb-00720-para--haiku,ai_grader,correct,False,correct
fb-00720-para--opus,ai_grader,correct,False,correct
fb-00720-para--sonnet,ai_grader,correct,False,correct
fb-00723-para--haiku,ai_grader,incorrect,False,incorrect
fb-00723-para--opus,ai_grader,correct,False,correct
fb-00723-para--sonnet,ai_grader,correct,False,correct
fb-00724-closedbook--haiku,refusal,refused,False,
fb-00724-closedbook--opus,refusal,refused,False,
fb-00724-closedbook--sonnet,refusal,refused,False,
fb-00724-oracle--haiku,ai_grader,correct,False,correct
fb-00724-oracle--opus,ai_grader,correct,False,correct
fb-00724-oracle--sonnet,ai_grader,correct,False,correct
fb-00724-para--haiku,ai_grader,correct,False,correct
fb-00724-para--opus,ai_grader,correct,False,correct
fb-00724-para--sonnet,ai_grader,correct,False,correct
fb-00735-closedbook--haiku,refusal,refused,False,
fb-00735-closedbook--opus,ai_grader,correct,False,correct
fb-00735-closedbook--sonnet,ai_grader,correct,False,correct
fb-00735-oracle--haiku,ai_grader,correct,False,correct
fb-00735-oracle--opus,ai_grader,correct,False,correct
fb-00735-oracle--sonnet,ai_grader,correct,False,correct
fb-00735-para--haiku,ai_grader,correct,False,correct
fb-00735-para--opus,ai_grader,correct,False,correct
fb-00735-para--sonnet,ai_grader,correct,False,correct
fb-00746-closedbook--haiku,refusal,refused,False,
fb-00746-closedbook--opus,ai_grader,correct,False,correct
fb-00746-closedbook--sonnet,ai_grader,correct,False,correct
fb-00746-oracle--haiku,refusal,refused,False,
fb-00746-oracle--opus,ai_grader,correct,False,correct
fb-00746-oracle--sonnet,ai_grader,correct,False,correct
fb-00746-para--haiku,refusal,refused,False,
fb-00746-para--opus,ai_grader,correct,False,correct
fb-00746-para--sonnet,ai_grader,correct,False,correct
fb-00757-para--haiku,ai_grader,correct,False,correct
fb-00757-para--opus,ai_grader,correct,False,correct
fb-00757-para--sonnet,ai_grader,correct,False,correct
fb-00790-para--haiku,ai_grader,correct,False,correct
fb-00790-para--opus,ai_grader,incorrect,False,incorrect
fb-00790-para--sonnet,ai_grader,incorrect,False,incorrect
fb-00799-para--haiku,ai_grader,correct,False,correct
fb-00799-para--opus,ai_grader,incorrect,False,incorrect
fb-00799-para--sonnet,ai_grader,incorrect,False,incorrect
fb-00807-para--haiku,ai_grader,correct,False,correct
fb-00807-para--opus,ai_grader,incorrect,False,incorrect
fb-00807-para--sonnet,ai_grader,incorrect,False,incorrect
fb-00822-para--haiku,ai_grader,correct,False,correct
fb-00822-para--opus,ai_grader,correct,False,correct
fb-00822-para--sonnet,ai_grader,correct,False,correct
fb-00839-para--haiku,ai_grader,incorrect,False,incorrect
fb-00839-para--opus,ai_grader,correct,False,correct
fb-00839-para--sonnet,ai_grader,correct,False,correct
fb-00859-closedbook--haiku,refusal,refused,False,
fb-00859-closedbook--opus,ai_grader,correct,False,correct
fb-00859-closedbook--sonnet,ai_grader,correct,False,correct
fb-00859-oracle--haiku,ai_grader,correct,False,correct
fb-00859-oracle--opus,ai_grader,correct,False,correct
fb-00859-oracle--sonnet,ai_grader,correct,False,correct
fb-00859-para--haiku,ai_grader,correct,False,correct
fb-00859-para--opus,ai_grader,correct,False,correct
fb-00859-para--sonnet,ai_grader,correct,False,correct
fb-00882-closedbook--haiku,refusal,refused,False,
fb-00882-closedbook--opus,ai_grader,incorrect,False,incorrect
fb-00882-closedbook--sonnet,refusal,refused,False,
fb-00882-oracle--haiku,ai_grader,correct,False,correct
fb-00882-oracle--opus,ai_grader,correct,False,correct
fb-00882-oracle--sonnet,ai_grader,correct,False,correct
fb-00882-para--haiku,ai_grader,correct,False,correct
fb-00882-para--opus,ai_grader,correct,False,correct
fb-00882-para--sonnet,ai_grader,correct,False,correct
fb-00917-para--haiku,ai_grader,correct,False,correct
fb-00917-para--opus,ai_grader,correct,False,correct
fb-00917-para--sonnet,ai_grader,correct,False,correct
fb-00941-para--haiku,ai_grader,correct,False,correct
fb-00941-para--opus,ai_grader,correct,False,correct
fb-00941-para--sonnet,ai_grader,correct,False,correct
fb-00956-para--haiku,ai_grader,correct,False,correct
fb-00956-para--opus,ai_grader,correct,False,correct
fb-00956-para--sonnet,ai_grader,correct,False,correct
fb-00995-para--haiku,ai_grader,correct,False,correct
fb-00995-para--opus,ai_grader,correct,False,correct
fb-00995-para--sonnet,ai_grader,correct,False,correct
fb-01009-closedbook--haiku,ai_grader,incorrect,False,incorrect
fb-01009-closedbook--opus,ai_grader,correct,False,correct
fb-01009-closedbook--sonnet,ai_grader,incorrect,False,incorrect
fb-01009-oracle--haiku,ai_grader,correct,False,correct
fb-01009-oracle--opus,ai_grader,correct,False,correct
fb-01009-oracle--sonnet,ai_grader,correct,False,correct
fb-01009-para--haiku,ai_grader,correct,False,correct
fb-01009-para--opus,ai_grader,correct,False,correct
fb-01009-para--sonnet,ai_grader,correct,False,correct
fb-01028-para--haiku,ai_grader,correct,False,correct
fb-01028-para--opus,ai_grader,correct,False,correct
fb-01028-para--sonnet,ai_grader,correct,False,correct
fb-01077-para--haiku,ai_grader,correct,False,correct
fb-01077-para--opus,ai_grader,correct,False,correct
fb-01077-para--sonnet,ai_grader,correct,False,correct
fb-01079-para--haiku,ai_grader,correct,False,correct
fb-01079-para--opus,refusal,refused,False,
fb-01079-para--sonnet,refusal,refused,False,
fb-01091-para--haiku,ai_grader,correct,False,correct
fb-01091-para--opus,ai_grader,correct,False,correct
fb-01091-para--sonnet,ai_grader,correct,False,correct
fb-01107-para--haiku,ai_grader,correct,False,correct
fb-01107-para--opus,ai_grader,correct,False,correct
fb-01107-para--sonnet,ai_grader,correct,False,correct
fb-01148-para--haiku,ai_grader,correct,False,correct
fb-01148-para--opus,ai_grader,correct,False,correct
fb-01148-para--sonnet,ai_grader,correct,False,correct
fb-01163-closedbook--haiku,ai_grader,correct,False,correct
fb-01163-closedbook--opus,ai_grader,correct,False,correct
fb-01163-closedbook--sonnet,ai_grader,correct,False,correct
fb-01163-oracle--haiku,ai_grader,correct,False,correct
fb-01163-oracle--opus,ai_grader,correct,False,correct
fb-01163-oracle--sonnet,ai_grader,correct,False,correct
fb-01163-para--haiku,ai_grader,correct,False,correct
fb-01163-para--opus,ai_grader,correct,False,correct
fb-01163-para--sonnet,ai_grader,correct,False,correct
fb-01198-para--haiku,ai_grader,correct,False,correct
fb-01198-para--opus,ai_grader,correct,False,correct
fb-01198-para--sonnet,ai_grader,correct,False,correct
fb-01226-para--haiku,ai_grader,correct,False,correct
fb-01226-para--opus,ai_grader,correct,False,correct
fb-01226-para--sonnet,ai_grader,correct,False,correct
fb-01244-para--haiku,ai_grader,correct,False,correct
fb-01244-para--opus,ai_grader,correct,False,correct
fb-01244-para--sonnet,ai_grader,correct,False,correct
fb-01254-closedbook--haiku,refusal,refused,False,
fb-01254-closedbook--opus,ai_grader,correct,False,correct
fb-01254-closedbook--sonnet,ai_grader,incorrect,False,incorrect
fb-01254-oracle--haiku,ai_grader,correct,False,correct
fb-01254-oracle--opus,ai_grader,correct,False,correct
fb-01254-oracle--sonnet,ai_grader,correct,False,correct
fb-01254-para--haiku,ai_grader,correct,False,correct
fb-01254-para--opus,ai_grader,correct,False,correct
fb-01254-para--sonnet,ai_grader,correct,False,correct
fb-01275-para--haiku,ai_grader,correct,False,correct
fb-01275-para--opus,ai_grader,correct,False,correct
fb-01275-para--sonnet,ai_grader,correct,False,correct
fb-01279-para--haiku,ai_grader,correct,False,correct
fb-01279-para--opus,ai_grader,correct,False,correct
fb-01279-para--sonnet,ai_grader,correct,False,correct
fb-01290-para--haiku,ai_grader,correct,False,correct
fb-01290-para--opus,ai_grader,correct,False,correct
fb-01290-para--sonnet,refusal,refused,False,
fb-01319-para--haiku,numeric_parser,correct,False,
fb-01319-para--opus,numeric_parser,correct,False,
fb-01319-para--sonnet,numeric_parser,correct,False,
fb-01328-closedbook--haiku,refusal,refused,False,
fb-01328-closedbook--opus,ai_grader,incorrect,False,incorrect
fb-01328-closedbook--sonnet,ai_grader,incorrect,False,incorrect
fb-01328-oracle--haiku,ai_grader,correct,False,correct
fb-01328-oracle--opus,ai_grader,correct,False,correct
fb-01328-oracle--sonnet,ai_grader,correct,False,correct
fb-01328-para--haiku,ai_grader,correct,False,correct
fb-01328-para--opus,ai_grader,correct,False,correct
fb-01328-para--sonnet,ai_grader,correct,False,correct
fb-01346-para--haiku,ai_grader,correct,False,correct
fb-01346-para--opus,ai_grader,correct,False,correct
fb-01346-para--sonnet,ai_grader,correct,False,correct
fb-01351-para--haiku,ai_grader,correct,False,correct
fb-01351-para--opus,ai_grader,correct,False,correct
fb-01351-para--sonnet,ai_grader,correct,False,correct
fb-01474-closedbook--haiku,ai_grader,incorrect,False,incorrect
fb-01474-closedbook--opus,ai_grader,correct,False,correct
fb-01474-closedbook--sonnet,ai_grader,correct,False,correct
fb-01474-oracle--haiku,ai_grader,correct,False,correct
fb-01474-oracle--opus,ai_grader,correct,False,correct
fb-01474-oracle--sonnet,ai_grader,correct,False,correct
fb-01474-para--haiku,ai_grader,correct,False,correct
fb-01474-para--opus,ai_grader,correct,False,correct
fb-01474-para--sonnet,ai_grader,correct,False,correct
fb-01476-closedbook--haiku,refusal,refused,False,
fb-01476-closedbook--opus,ai_grader,correct,False,correct
fb-01476-closedbook--sonnet,refusal,refused,False,
fb-01476-oracle--haiku,ai_grader,correct,False,correct
fb-01476-oracle--opus,ai_grader,correct,False,correct
fb-01476-oracle--sonnet,ai_grader,correct,False,correct
fb-01476-para--haiku,ai_grader,correct,False,correct
fb-01476-para--opus,ai_grader,correct,False,correct
fb-01476-para--sonnet,ai_grader,correct,False,correct
fb-01482-closedbook--haiku,refusal,refused,False,
fb-01482-closedbook--opus,ai_grader,correct,False,correct
fb-01482-closedbook--sonnet,ai_grader,correct,False,correct
fb-01482-oracle--haiku,ai_grader,correct,False,correct
fb-01482-oracle--opus,ai_grader,correct,False,correct
fb-01482-oracle--sonnet,ai_grader,correct,False,correct
fb-01482-para--haiku,ai_grader,correct,False,correct
fb-01482-para--opus,ai_grader,correct,False,correct
fb-01482-para--sonnet,ai_grader,correct,False,correct
fb-01484-para--haiku,ai_grader,incorrect,False,incorrect
fb-01484-para--opus,ai_grader,correct,False,correct
fb-01484-para--sonnet,ai_grader,correct,False,correct
fb-01487-para--haiku,ai_grader,correct,False,correct
fb-01487-para--opus,ai_grader,correct,False,correct
fb-01487-para--sonnet,ai_grader,correct,False,correct
fb-01488-para--haiku,ai_grader,correct,False,correct
fb-01488-para--opus,ai_grader,correct,False,correct
fb-01488-para--sonnet,ai_grader,correct,False,correct
fb-01490-para--haiku,ai_grader,correct,False,correct
fb-01490-para--opus,ai_grader,correct,False,correct
fb-01490-para--sonnet,ai_grader,correct,False,correct
fb-01491-para--haiku,ai_grader,correct,False,correct
fb-01491-para--opus,ai_grader,correct,False,correct
fb-01491-para--sonnet,ai_grader,correct,False,correct
fb-01858-para--haiku,ai_grader,correct,False,correct
fb-01858-para--opus,ai_grader,correct,False,correct
fb-01858-para--sonnet,refusal,refused,False,
fb-01865-para--haiku,ai_grader,correct,False,correct
fb-01865-para--opus,ai_grader,correct,False,correct
fb-01865-para--sonnet,ai_grader,correct,False,correct
fb-01902-para--haiku,refusal,refused,False,
fb-01902-para--opus,refusal,refused,False,
fb-01902-para--sonnet,refusal,refused,False,
fb-01911-closedbook--haiku,refusal,refused,False,
fb-01911-closedbook--opus,refusal,refused,False,
fb-01911-closedbook--sonnet,refusal,refused,False,
fb-01911-oracle--haiku,ai_grader,incorrect,False,incorrect
fb-01911-oracle--opus,ai_grader,incorrect,False,incorrect
fb-01911-oracle--sonnet,refusal,refused,False,
fb-01911-para--haiku,ai_grader,incorrect,False,incorrect
fb-01911-para--opus,ai_grader,incorrect,False,incorrect
fb-01911-para--sonnet,refusal,refused,False,
fb-01912-closedbook--haiku,refusal,refused,False,
fb-01912-closedbook--opus,ai_grader,incorrect,False,incorrect
fb-01912-closedbook--sonnet,ai_grader,correct,False,correct
fb-01912-oracle--haiku,ai_grader,correct,False,correct
fb-01912-oracle--opus,ai_grader,correct,False,correct
fb-01912-oracle--sonnet,ai_grader,correct,False,correct
fb-01912-para--haiku,ai_grader,correct,False,correct
fb-01912-para--opus,ai_grader,correct,False,correct
fb-01912-para--sonnet,ai_grader,correct,False,correct
fb-01928-para--haiku,ai_grader,correct,False,correct
fb-01928-para--opus,ai_grader,correct,False,correct
fb-01928-para--sonnet,ai_grader,correct,False,correct
fb-01930-para--haiku,ai_grader,refused,False,refused
fb-01930-para--opus,ai_grader,correct,False,correct
fb-01930-para--sonnet,refusal,refused,False,
fb-01935-para--haiku,ai_grader,correct,False,correct
fb-01935-para--opus,ai_grader,correct,False,correct
fb-01935-para--sonnet,ai_grader,correct,False,correct
fb-01936-para--haiku,ai_grader,correct,False,correct
fb-01936-para--opus,ai_grader,correct,False,correct
fb-01936-para--sonnet,ai_grader,correct,False,correct
fb-01964-para--haiku,ai_grader,correct,False,correct
fb-01964-para--opus,ai_grader,correct,False,correct
fb-01964-para--sonnet,ai_grader,correct,False,correct
fb-01981-para--haiku,ai_grader,correct,False,correct
fb-01981-para--opus,ai_grader,correct,False,correct
fb-01981-para--sonnet,ai_grader,correct,False,correct
fb-02024-closedbook--haiku,refusal,refused,False,
fb-02024-closedbook--opus,refusal,refused,False,
fb-02024-closedbook--sonnet,refusal,refused,False,
fb-02024-oracle--haiku,ai_grader,correct,False,correct
fb-02024-oracle--opus,ai_grader,correct,False,correct
fb-02024-oracle--sonnet,ai_grader,correct,False,correct
fb-02024-para--haiku,ai_grader,correct,False,correct
fb-02024-para--opus,ai_grader,correct,False,correct
fb-02024-para--sonnet,ai_grader,correct,False,correct
fb-02049-para--haiku,ai_grader,correct,False,correct
fb-02049-para--opus,ai_grader,correct,False,correct
fb-02049-para--sonnet,ai_grader,correct,False,correct
fb-02119-para--haiku,refusal,refused,False,
fb-02119-para--opus,refusal,refused,False,
fb-02119-para--sonnet,refusal,refused,False,
fb-02416-closedbook--haiku,refusal,refused,False,
fb-02416-closedbook--opus,ai_grader,incorrect,False,incorrect
fb-02416-closedbook--sonnet,ai_grader,incorrect,False,incorrect
fb-02416-oracle--haiku,ai_grader,correct,False,correct
fb-02416-oracle--opus,ai_grader,correct,False,correct
fb-02416-oracle--sonnet,ai_grader,correct,False,correct
fb-02416-para--haiku,ai_grader,correct,False,correct
fb-02416-para--opus,ai_grader,correct,False,correct
fb-02416-para--sonnet,ai_grader,correct,False,correct
fb-02419-closedbook--haiku,refusal,refused,False,
fb-02419-closedbook--opus,ai_grader,incorrect,False,incorrect
fb-02419-closedbook--sonnet,ai_grader,incorrect,False,incorrect
fb-02419-oracle--haiku,ai_grader,incorrect,False,incorrect
fb-02419-oracle--opus,ai_grader,incorrect,False,incorrect
fb-02419-oracle--sonnet,ai_grader,incorrect,False,incorrect
fb-02419-para--haiku,ai_grader,incorrect,False,incorrect
fb-02419-para--opus,ai_grader,incorrect,False,incorrect
fb-02419-para--sonnet,ai_grader,incorrect,False,incorrect
fb-02608-para--haiku,numeric_parser,correct,False,
fb-02608-para--opus,numeric_parser,correct,False,
fb-02608-para--sonnet,numeric_parser,correct,False,
fb-02981-para--haiku,numeric_parser,correct,False,
fb-02981-para--opus,numeric_parser,correct,False,
fb-02981-para--sonnet,numeric_parser,correct,False,
fb-02987-para--haiku,numeric_parser,correct,False,
fb-02987-para--opus,numeric_parser,correct,False,
fb-02987-para--sonnet,numeric_parser,correct,False,
fb-03031-closedbook--haiku,numeric_parser,incorrect,False,incorrect
fb-03031-closedbook--opus,numeric_parser,correct,False,
fb-03031-closedbook--sonnet,numeric_parser,incorrect,False,incorrect
fb-03031-oracle--haiku,numeric_parser,correct,False,
fb-03031-oracle--opus,numeric_parser,correct,False,
fb-03031-oracle--sonnet,numeric_parser,correct,False,
fb-03031-para--haiku,numeric_parser,correct,False,
fb-03031-para--opus,numeric_parser,correct,False,
fb-03031-para--sonnet,numeric_parser,correct,False,
fb-03069-para--haiku,numeric_parser,correct,False,
fb-03069-para--opus,adjudicated,correct,True,correct
fb-03069-para--sonnet,numeric_parser,correct,False,
fb-03282-closedbook--haiku,refusal,refused,False,
fb-03282-closedbook--opus,numeric_parser,correct,False,
