financebench_id,question,paraphrase
financebench_id_01275,"Among operations, investing, and financing activities, which brought in the most (or lost the least) cash flow for Best Buy in FY2023?","For Best Buy's FY2023, which of the three activity categories—operating, investing, or financing—generated the highest cash inflow, or if none were positive, showed the smallest cash outflow?"
financebench_id_01279,"Among operations, investing, and financing activities, which brought in the most (or lost the least) cash flow for AMD in FY22?","For AMD in FY22, which category among operating, investing, and financing activities generated the largest positive cash flow, or if all were negative, the smallest cash outflow?"
financebench_id_01290,Who are the primary customers of Boeing as of FY2022?,"As of fiscal year 2022, who are Boeing's main customers?"
financebench_id_01319,What is the quantity of restructuring costs directly outlined in AES Corporation's income statements for FY2022? If restructuring costs are not explicitly outlined then state 0.,"For fiscal year 2022, how much did AES Corporation report as restructuring expenses specifically stated in its income statements? Report 0 if not explicitly stated."
financebench_id_01328,What is the quantity of restructuring costs directly outlined in Pepsico's income statements for FY2022? If restructuring costs are not explicitly outlined then state 0.,"For fiscal year 2022, how much did Pepsico report as restructuring expenses specifically within its income statement? Report 0 if no restructuring costs are explicitly stated."
financebench_id_01346,How much has the effective tax rate of Corning changed between FY2021 and FY2022?,"Between fiscal years 2021 and 2022, what was the change in Corning's effective tax rate?"
financebench_id_01351,How much has the effective tax rate of American Express changed between FY2021 and FY2022?,"Between FY2021 and FY2022, what was the change in American Express's effective tax rate?"
financebench_id_01474,"As of FY2023Q1, why did Pepsico raise full year guidance for FY2023?","For the first quarter of fiscal year 2023, what was the reason Pepsico increased its guidance for the entire FY2023?"
financebench_id_01476,"As of FY2023Q1, by how many percentage points did Pepsico raise full year guidance in respect of core constant currency EPS growth?","For the first quarter of fiscal year 2023, by how many percentage points did Pepsico increase its full-year outlook for core constant-currency EPS growth?"
financebench_id_01482,"At the Pepsico AGM held on May 3, 2023, what was the outcome of the shareholder vote on the shareholder proposal for a congruency report by Pepsico on net-zero emissions policies?","In the May 3, 2023 Pepsico Annual General Meeting, how did shareholders vote on the proposal requesting that Pepsico issue a congruency report regarding its net-zero emissions policies?"
financebench_id_01484,How did JnJ's US sales growth compare to international sales growth in FY2022?,"In FY2022, how did Johnson & Johnson's domestic (US) sales growth stack up against its international sales growth?"
financebench_id_01487,Did JnJ's net earnings as a percent of sales increase in Q2 of FY2023 compared to Q2 of FY2022?,"For Johnson & Johnson, did net earnings expressed as a percentage of sales rise when comparing Q2 FY2023 to Q2 FY2022?"
financebench_id_01488,"Which business segment of JnJ will be treated as a discontinued operation from August 30, 2023 onward?","Starting on August 30, 2023, which of JnJ's business segments will be classified as a discontinued operation?"
financebench_id_01490,"What is the amount of the gain accruing to JnJ as a result of the separation of its Consumer Health business segment, as of August 30, 2023?","As of August 30, 2023, what dollar gain did JnJ recognize from spinning off its Consumer Health business segment?"
financebench_id_01491,"What is the amount of the cash proceeds that JnJ realised from the separation of Kenvue (formerly Consumer Health business segment), as of August 30, 2023?","As of August 30, 2023, how much cash did JnJ receive from separating Kenvue (previously the Consumer Health business segment)?"
financebench_id_01858,Does 3M maintain a stable trend of dividend distribution?,Has 3M consistently maintained a steady pattern in its dividend payouts?
financebench_id_01865,"If we exclude the impact of M&A, which segment has dragged down 3M's overall growth in 2022?","Excluding M&A effects, which segment held back 3M's total growth in 2022?"
financebench_id_01902,Which Best Buy product category performed the best (by top line) in the domestic (USA) Market during Q2 of FY2024?,"During Q2 of FY2024, which Best Buy product category generated the highest revenue in the domestic (USA) market?"
financebench_id_01911,What was MGM's interest coverage ratio using FY2022 Adjusted EBIT as the numerator and annual Interest Expense as the denominator?,"For fiscal year 2022, what figure results from dividing MGM's Adjusted EBIT by its annual Interest Expense to determine the interest coverage ratio?"
financebench_id_01912,Which region had the worst topline performance for MGM during FY2022?,"For fiscal year 2022, which of MGM's regions posted the weakest revenue results?"
financebench_id_01928,What Was AMCOR's Adjusted Non GAAP EBITDA for FY 2023,"For fiscal year 2023, what figure did AMCOR report as its Adjusted Non-GAAP EBITDA?"
financebench_id_01930,"How much was the Real change in Sales for AMCOR in FY 2023 vs FY 2022, if we exclude the impact of FX movement, passthrough costs and one-off items?","For AMCOR, what was the underlying change in Sales between FY 2022 and FY 2023 after stripping out the effects of currency movements, passthrough costs, and one-off items?"
financebench_id_01935,What was the key agenda of the AMCOR's 8k filing dated 1st July 2022?,"What main topic did AMCOR address in its 8-K filing submitted on July 1, 2022?"
financebench_id_01936,What is the nature & purpose of AMCOR's restructuring liability as oF Q2 of FY2023 close?,"As of the end of the second quarter of fiscal year 2023, what does AMCOR's restructuring liability represent, and why does it exist?"
financebench_id_01964,What was the largest liability in American Express's Balance Sheet in 2022?,"In American Express's 2022 Balance Sheet, which liability category had the highest value?"
financebench_id_01981,Was American Express able to retain card members during 2022?,"In 2022, did American Express succeed in keeping its existing card members from leaving?"
financebench_id_02024,"As of FY 2021, how much did Verizon expect to pay for its retirees in 2024?","Based on figures reported for fiscal year 2021, what amount did Verizon anticipate paying toward its retirees' expenses in 2024?"
financebench_id_02049,"Looking at VaR, did the risk that JPM faced in the second fiscal quarter of 2023 decrease compared to the same period in the prior year?","In terms of Value at Risk, was JPM's exposure to risk lower in Q2 of fiscal year 2023 relative to the corresponding quarter a year earlier?"
financebench_id_02119,"If JPM went bankrupted by the end by 2021 Q1 and liquidated all of its assets to pay its shareholders, how much could each shareholder get?","Assuming JPM declared bankruptcy at the close of 2021 Q1 and sold off all its assets to distribute the proceeds among shareholders, what amount would each shareholder receive?"
financebench_id_02416,What are three main companies acquired by Pfizer mentioned in this 10K report?,"According to this 10K filing, which three companies does it name as major acquisitions made by Pfizer?"
financebench_id_02419,"As of Q2'2023, is Pfizer spinning off any large business segments?","For the second quarter of fiscal year 2023, has Pfizer announced plans to divest or spin off any of its major business segments?"
financebench_id_02608,"In agreement with the information outlined in the income statement, what is the FY2015 - FY2017 3 year average net profit margin (as a %) for Best Buy? Answer in units of percents and round to one decimal place.","Based on the income statement data, what was Best Buy's average net profit margin, expressed as a percentage, over the three-year period from FY2015 to FY2017? Provide the answer in percent, rounded to one decimal place."
financebench_id_02981,"Taking into account the information outlined in the income statement, what is the FY2019 - FY2021 3 year average unadjusted operating income % margin for Corning? Answer in units of percents and round to one decimal place.","Based on the income statement data, what was Corning's average unadjusted operating margin over the three-year period from FY2019 to FY2021? Express the answer as a percentage rounded to one decimal place."
financebench_id_02987,What is the FY2019 fixed asset turnover ratio for Activision Blizzard? Fixed asset turnover ratio is defined as: FY2019 revenue / (average PP&E between FY2018 and FY2019). Round your answer to two decimal places. Base your judgments on the information provided primarily in the statement of income and the statement of financial position.,"For fiscal year 2019, calculate Activision Blizzard's fixed asset turnover ratio, defined as FY2019 revenue divided by the average PP&E for FY2018 and FY2019. Provide the result rounded to two decimal places, relying mainly on the income statement and balance sheet."
financebench_id_03029,What is the FY2018 capital expenditure amount (in USD millions) for 3M? Give a response to the question by relying on the details shown in the cash flow statement.,"Using the cash flow statement, how much did 3M spend on capital expenditures in fiscal year 2018, expressed in millions of USD?"
financebench_id_03031,What is Lockheed Martin's FY2021 net working capital? Define net working capital as total current assets less total current liabilities. Answer in USD millions. Respond to the question by assuming the perspective of an investment analyst who can only use the details shown within the balance sheet.,"Using only the figures presented on the balance sheet, and adopting the viewpoint of an investment analyst, calculate Lockheed Martin's net working capital for FY2021—computed as total current assets minus total current liabilities—expressing the result in millions of USD."
financebench_id_03069,"Answer the following question as if you are an equity research analyst and have lost internet connection so you do not have access to financial metric providers. According to the details clearly outlined within the P&L statement and the statement of cash flows, what is the FY2015 depreciation and amortization (D&A from cash flow statement) % margin for AMD?","Imagine you're an equity research analyst working offline with no access to financial data providers. Based solely on the figures presented in the income statement and cash flow statement, calculate AMD's depreciation and amortization expense (as reported in the cash flow statement) as a percentage of revenue for fiscal year 2015."
financebench_id_03282,What is Netflix's year end FY2017 total current liabilities (in USD millions)? Base your judgments on the information provided primarily in the balance sheet.,"Referring mainly to the balance sheet, what were Netflix's total current liabilities, in millions of USD, as of the close of fiscal year 2017?"
financebench_id_03471,"By drawing conclusions from the information stated only in the statement of financial position, what is General Mills's FY2020 working capital ratio? Define working capital ratio as total current assets divided by total current liabilities. Round your answer to two decimal places.","Using only the data presented in the balance sheet, calculate General Mills's working capital ratio for fiscal year 2020, where the working capital ratio is defined as total current assets divided by total current liabilities. Provide your answer rounded to two decimal places."
financebench_id_03473,What is the FY2017 return on assets (ROA) for Coca Cola? ROA is defined as: FY2017 net income / (average total assets between FY2016 and FY2017). Round your answer to two decimal places. Give a response to the question by relying on the details shown in the balance sheet and the P&L statement.,"Using figures from the balance sheet and income statement, calculate Coca-Cola's return on assets (ROA) for fiscal year 2017, where ROA equals FY2017 net income divided by the average of total assets at the end of FY2016 and FY2017. Provide the result rounded to two decimal places."
financebench_id_03531,"According to the details clearly outlined within the balance sheet, how much total current assets did Nike have at the end of FY2019? Answer in USD millions.","Based on the balance sheet figures, what was Nike's total current assets figure at the close of fiscal year 2019, expressed in USD millions?"
financebench_id_03620,What is the FY2022 unadjusted EBITDA less capex for PepsiCo? Define unadjusted EBITDA as unadjusted operating income + depreciation and amortization [from cash flow statement]. Answer in USD millions. Respond to the question by assuming the perspective of an investment analyst who can only use the details shown within the statement of cash flows and the income statement.,"From the perspective of an investment analyst limited strictly to the income statement and statement of cash flows, calculate PepsiCo's FY2022 non-adjusted EBITDA minus capital expenditures, where non-adjusted EBITDA equals non-adjusted operating income plus depreciation and amortization taken from the cash flow statement. Provide the result in millions of USD."
financebench_id_03718,What is Lockheed Martin's 2 year total revenue CAGR from FY2020 to FY2022 (in units of percents and round to one decimal place)? Provide a response to the question by primarily using the statement of income.,"Using figures from the income statement, calculate Lockheed Martin's two-year compound annual growth rate (CAGR) in total revenue between fiscal year 2020 and fiscal year 2022, expressed as a percentage rounded to one decimal place."
financebench_id_03838,What is the FY2019 - FY2020 total revenue growth rate for Block (formerly known as Square)? Answer in units of percents and round to one decimal place. Approach the question asked by assuming the standpoint of an investment banking analyst who only has access to the statement of income.,"From the perspective of an investment banking analyst working solely from the income statement, calculate how much Block's (formerly Square) total revenue grew between FY2019 and FY2020, expressing the result as a percentage rounded to one decimal place."
financebench_id_03849,What is the FY2018 - FY2020 3 year average of capex as a % of revenue for MGM Resorts? Answer in units of percents and round to one decimal place. Please utilize information provided primarily within the statement of cash flows and the statement of income.,"For MGM Resorts, what was the average capital expenditure as a percentage of revenue over the three fiscal years FY2018 through FY2020? Provide the answer as a percentage rounded to one decimal place, drawing mainly from the cash flow statement and income statement."
financebench_id_03856,What is the FY2017 operating cash flow ratio for Adobe? Operating cash flow ratio is defined as: cash from operations / total current liabilities. Round your answer to two decimal places. Please utilize information provided primarily within the balance sheet and the cash flow statement.,"For Adobe's fiscal year 2017, calculate the operating cash flow ratio, defined as cash from operations divided by total current liabilities, rounding your result to two decimal places. Base your calculation mainly on data from the balance sheet and the cash flow statement."
financebench_id_03882,What is Amcor's year end FY2020 net AR (in USD millions)? Address the question by adopting the perspective of a financial analyst who can only use the details shown within the balance sheet.,"Looking only at the balance sheet, what net accounts receivable figure did Amcor report at the close of fiscal year 2020, expressed in millions of US dollars?"
financebench_id_04080,"When primarily referencing the income statement and the statement of financial position, what is the FY2021 inventory turnover ratio for Nike? Inventory turnover ratio is defined as: (FY2021 COGS) / (average inventory between FY2020 and FY2021). Round your answer to two decimal places.","Using mainly the income statement and balance sheet, calculate Nike's inventory turnover ratio for FY2021, where the ratio equals FY2021 COGS divided by the average inventory across FY2020 and FY2021. Provide the result rounded to two decimal places."
financebench_id_04103,What is the FY2019 cash conversion cycle (CCC) for General Mills? CCC is defined as: DIO + DSO - DPO. DIO is defined as: 365 * (average inventory between FY2018 and FY2019) / (FY2019 COGS). DSO is defined as: 365 * (average accounts receivable between FY2018 and FY2019) / (FY2019 Revenue). DPO is defined as: 365 * (average accounts payable between FY2018 and FY2019) / (FY2019 COGS + change in inventory between FY2018 and FY2019). Round your answer to two decimal places. Address the question by using the line items and information shown within the income statement and the balance sheet.,"For General Mills, calculate the fiscal year 2019 cash conversion cycle (CCC), where CCC = DIO + DSO - DPO. Use these definitions: DIO = 365 * (average inventory across FY2018 and FY2019) / (FY2019 cost of goods sold, COGS); DSO = 365 * (average accounts receivable across FY2018 and FY2019) / (FY2019 revenue); DPO = 365 * (average accounts payable across FY2018 and FY2019) / (FY2019 COGS plus the change in inventory from FY2018 to FY2019). Give your answer rounded to two decimal places, drawing on the relevant figures from the income statement and balance sheet.</paraphrase>
</invoke>"
financebench_id_04171,"Basing your judgments off of the balance sheet, what is the year end FY2018 amount of accounts payable for MGM Resorts? Answer in USD millions.","According to the balance sheet, what was MGM Resorts' accounts payable balance at the close of fiscal year 2018, expressed in USD millions?"
financebench_id_04209,"Using only the information within the balance sheet, how much total assets did Costco have at the end of FY2021? Answer in USD millions.","Relying solely on the balance sheet data, what was Costco's total assets figure at the close of FY2021, expressed in USD millions?"
financebench_id_04254,"Basing your judgments off of the cash flow statement and the income statement, what is American Water Works's FY2021 unadjusted operating income + depreciation and amortization from the cash flow statement (unadjusted EBITDA) in USD millions?","Using data from American Water Works's income statement and cash flow statement, what was the company's FY2021 unadjusted EBITDA—calculated as operating income plus depreciation and amortization taken from the cash flow statement—expressed in millions of USD?"
financebench_id_04302,"We need to calculate a reasonable approximation (or exact number if possible) of a financial metric. Basing your judgment by information plainly provided in the statement of income, what is Nike's three year average of cost of goods sold as a % of revenue from FY2016 to FY2018? Answer in units of percents and round to one decimal place.","Using only the figures shown on the income statement, estimate—precisely if you can, or as a close approximation otherwise—Nike's average cost of goods sold expressed as a percentage of revenue across fiscal years 2016 through 2018. Give the result as a percentage rounded to one decimal place."
financebench_id_04412,"We need to calculate a reasonable approximation (or exact number if possible) of a financial metric. Basing your judgment by information plainly provided in the balance sheet and the P&L statement, what is Lockheed Martin's FY2020 asset turnover ratio? Asset turnover ratio is defined as: FY2020 revenue / (average total assets between FY2019 and FY2020). Round your answer to two decimal places.","Using only the figures shown in the balance sheet and income statement, estimate—giving an exact value where possible—Lockheed Martin's asset turnover ratio for fiscal year 2020, calculated as FY2020 revenue divided by the average total assets across FY2019 and FY2020, and round the result to two decimal places."
financebench_id_04417,What is the year end FY2019 total amount of inventories for Best Buy? Answer in USD millions. Base your judgments on the information provided primarily in the balance sheet.,"Using the balance sheet as the primary source, what was Best Buy's total inventories balance at the close of fiscal year 2019, expressed in millions of USD?"
financebench_id_04458,We want to calculate a financial metric. Please help us compute it by basing your answers off of the statement of income and the statement of cash flows. Here's the question: what is the FY2015 unadjusted EBITDA % margin for Netflix? Calculate unadjusted EBITDA using unadjusted operating income and D&A (from cash flow statement).,"Using the income statement and cash flow statement, determine Netflix's unadjusted EBITDA margin (as a percentage) for FY2015, computing unadjusted EBITDA from unadjusted operating income plus depreciation and amortization taken from the cash flow statement."
